Time,Shell side Flow rate,Tube side In temp,Shell side out temp,Tube side out temp,Tube side Flow rate,Shell side In temp,Fluid Density,Density,Density correction,MMJoules,MM kcal/hr,Unknown,Delta T1,Delta T2,LMTD,UA,U value,Ch,Cc,G_s,Re_s,Nu_s,ho,G_t,v_t,Re_t,f,Nu_t,hi,U_clean,Rf_val,Cp_val
2020-05-01,419.4577809651693,231.5271515528361,273.6936524497138,264.9736630545722,918.2421183692085,347.60811479356556,32.12496432463328,864.7825254768442,864.6541248759733,33190.01947380545,7.633704478975253,7.743784013506162,82.63445173899332,42.16650089687771,60.147063030958265,126909.33500385478,109.97342721304574,0.1033045628200948,0.2282647169847639,1254.7180314906814,55153.22611314486,485.32771792868664,1326.0574767283351,216.06315106875914,2.872755688275388,89141.53237978979,0.00460961564874934,837.3634473974871,3069.9372847221375,728.641321691841,0.007720688358415078,15.092944078122983
2020-05-02,434.8835571712918,231.73445661332872,275.12492457495796,265.13367087046305,940.4140579223632,347.7813446044922,31.70392235252592,867.0294254628346,866.9009019300629,34038.15178592853,7.828774910763561,7.9144273813437325,82.64767373402913,43.390467961629234,60.92466243492236,128492.12414063484,111.34499492256053,0.10775893035578621,0.23438598127955843,1300.8609341471204,57181.514445547225,495.9591817414184,1355.1057497954653,225.56085896646715,2.9972049200693633,93060.01747041913,0.004567363475817186,869.7584863440193,3188.7037990846593,748.1005834424668,0.007644376557626726,14.883693100491158
2020-05-03,451.9131575054593,230.7968099594116,275.5235329310099,265.0569234636095,952.3030531141493,347.92452203962534,30.399999618530273,873.9962960679626,873.8683285596566,35638.28672110423,8.196805945853974,8.261267643116598,82.8675985760159,44.72672297159831,61.849384416768,132529.64000526862,114.84370884338703,0.11321504314985593,0.23925389959842977,1351.801332866614,59420.68472791903,507.5223053018983,1386.6995901743926,230.1271783290076,3.0260995025177073,94943.95141889155,0.004547876868997695,885.2764038300717,3245.5955031824865,763.6411717979182,0.007397970549416152,15.038962419089948
2020-05-04,458.29197033776177,232.08367954889934,276.4050909466213,266.2630693859524,957.4082703060575,347.93320869869655,30.493090252081554,873.4940653595628,873.3653347375903,35724.59620199043,8.2166571264578,8.271805035980183,81.67013931274414,44.321411397722024,61.10502074746236,134472.51058474358,116.52730553270673,0.11487928820942743,0.24039805348832685,1370.8821840115797,60259.415399844795,511.8084963991723,1398.4107196674372,232.0597030791494,3.0515119955913117,95741.25635838439,0.004539782929725016,891.8329511427445,3269.633081030883,769.6219452089366,0.007282340345101669,15.140850161318095
2020-05-05,452.3061145782471,231.78760033713445,275.08732982211643,266.0236460367839,955.8685962253147,347.6113655514187,30.747360875871447,872.1263478984706,871.9977928514708,35671.68801181494,8.204488242717437,8.263635128950305,81.58771951463488,43.29972948498195,60.434080596476214,135755.12395582735,117.63875559430447,0.1131476556804647,0.23963708729143685,1352.9767797106185,59472.353456624835,507.7870461799961,1387.4229397953363,233.37638489038474,3.070722932326872,96284.4819557597,0.004534319071614618,896.2964653740188,3285.9971924595166,766.989713240949,0.007196801499728131,15.33772273127585
2020-05-06,440.5511446846856,231.75202508502537,274.11596035427516,265.8020099639893,946.6974892934163,347.7501856486003,31.233611206213634,869.5243008780049,869.3957669271294,35032.03889093207,8.057368944914375,8.1483751783472,81.948175684611,42.3639352692498,59.994657317764485,134298.75427955855,116.37673681070932,0.10943492200430564,0.23663139429286986,1317.8143072178113,57926.7282664066,499.8272650722647,1365.6744864078478,230.14194248218345,3.0356435190406237,94950.04269004017,0.0045478146930554965,885.3265189399752,3245.7792349239407,756.2038356267685,0.007270387834043794,15.389598852570241
2020-05-07,437.7786495844523,230.7837374157376,272.907206026713,264.94520011478,942.7483269161648,346.6720325681899,31.658264492617715,867.2563139983039,867.1283542420164,34907.44275709706,8.028711834132324,8.090438416273651,81.72683245340983,42.12346861097548,59.75270195876559,134363.16803892187,116.43255462644875,0.10884836147626559,0.23502643529629932,1309.5209824725227,57562.18132962334,497.9375621432689,1360.5112645162878,226.84549097190538,3.0069015182224614,93590.02022629138,0.004561829060483733,874.1277761117656,3204.722465301161,751.2436500643631,0.007257537164043189,15.49864076940595
2020-05-08,452.07197072770856,230.24068904452852,273.7438087463379,265.16152432759606,946.6769713083903,346.9465106328328,31.66736111111111,867.2175946181655,867.0899568895621,35832.43054859187,8.241459026176129,8.28996655603336,81.78498630523683,43.50311970180936,60.64238276776256,135896.75837648378,117.76148906107778,0.11260262753463685,0.23600069910102237,1352.276388575765,59441.56659482902,507.6293111554068,1386.9919615079407,226.1509764512609,2.9940194639823856,93303.48321929123,0.0045648159946593105,871.7659529761341,3196.063562256695,759.8816402551923,0.007175746026989494,15.497346273760442
2020-05-09,393.21207461886934,231.00143949720595,269.51666571299234,264.85495965745713,894.5876444074843,346.8463151931763,33.5,857.5757575757575,857.4476687221357,32458.9677408634,7.465562580398583,7.532843462024296,81.99135553571914,38.515226215786406,57.54133399419282,129742.24206261244,112.42828601612864,0.09654668563791785,0.22053035055537437,1176.2096273167547,51702.258119927734,466.8724527637919,1275.6322867940798,214.98204556295954,2.8810863933130215,88695.49888923623,0.004614580554219116,833.6655479018825,3056.3800658442483,709.6840369271613,0.007485481023518927,15.842019851951067
2020-05-10,414.9295555750529,232.3824874771966,272.91477548811173,266.3929328282674,913.5195130242241,348.0651366551717,32.12437558174133,864.8033539827338,864.6744461676598,33585.714218403074,7.724714270232707,7.7881200846658984,81.6722038269043,40.53228801091512,58.71577507294424,131546.27731610302,113.99157479731632,0.10283262994727903,0.22710469487711946,1241.1728159637228,54557.82354781943,482.1773045820656,1317.4496247167062,214.12160390292922,2.8695542340251037,88340.50504730105,0.004618555724220708,830.7208677387897,3045.584295557933,723.707130794326,0.007390803745713747,15.75106420081857
