Timestamp,Tube Inlet Temp,Shell inlet Temp,Tube outlet Temp,Shell outlet Temp,Shell flow rate,Tube flow rate,Fluid Density,Density,Specific Gravity,Specific Heat,MMJoules,MM kcal/hr,Unknown,Delta T1,Delta T2,LMTD,UA,U value,G_s,Re_s,Nu_s,ho,G_t,v_t,Re_t,f,Nu_t,hi,U_clean,Rf_val
2017-05-29,226.9882913,340.5553242,266.8153217,254.5763019,310.0864158,999.4315733,29.4128751357396,0.8793578505177806,0.7536487937768805,2855.278162009,42827.076307560936,9.850227550739016,0.005805614070465298,73.74000249999995,27.58801060000002,46.94230566159428,209836.89258361148,181.8343956530429,927.5570388259989,8416.016500231764,295.6354409728185,805.457374028155,792681.984907163,3190.1552473151037,138485373.15527663,0.001441443571067681,1002395.7993858386,3195646.9426436243,782.4865213268478,0.004221532290324672
2017-05-30,226.8767355,340.1974448,266.65347,255.159123,307.42646305,1003.087906,28.6800003051757,0.8833811944713044,0.7577382903198043,2854.7059201115,43153.76920440989,9.925366917014275,0.0057237291432546585,73.5439748,28.2823875,47.36238060622077,209562.24729359648,181.59640146758792,919.6003603954339,8343.823056426489,294.11122549762047,801.3046561061552,795422.4954584576,3201.8261503168183,138964153.59126252,0.0014408469047369305,1005617.0046501252,3205916.174378985,778.567441033582,0.0042223068010367425
2017-05-31,227.6757372,340.6956325,267.3767609,256.4766642,303.55757435,1007.994322,29.1129413260353,0.8809999918547218,0.7548832796951218,2857.8920785233,43167.35373057795,9.928491358032929,0.005576153334508948,73.31887159999997,28.80092700000003,47.642814982961845,208394.3058692813,180.58432051064236,908.0274092332198,8238.818033704816,291.8848110263511,795.2388003088059,800205.274455629,3217.4872812697154,139799728.19337752,0.0014398113818702434,1011236.9354474944,3223832.5649718875,772.8409529354416,0.004243652036561701
2017-06-01,226.7067066,338.6690727,266.0916816,255.4592195,301.08025295,1006.861281,29.3500003814697,0.8797015832416568,0.7541595062278568,2853.1742265025996,42664.01474609408,9.812723391601638,0.005459138951697175,72.5773911,28.7525129,47.33074774742421,207322.38256547842,179.65544416419274,900.6170333350176,8171.581364452513,290.4532330469919,791.3384728102595,797986.2935034977,3213.8706487876752,139412061.4984969,0.001440290904341113,1008629.8342067829,3215521.1024596277,769.156158602259,0.004266084286213968
2017-06-02,225.5907344,337.4637224,264.896278,254.5239064,292.382629,1007.001061,29.2405735770861,0.8803004546462009,0.7554201491470008,2848.3365169532003,42582.73989056694,9.794030174830397,0.005293063566346663,72.5674444,28.933171999999985,47.45292093303776,206394.67460077,178.85153778229636,874.5999558210917,7935.5202442413565,285.3893693259909,777.5419998240287,796743.8596269214,3214.3168223050848,139195002.29657927,0.001440560082266123,1007169.8770188492,3210866.745640825,756.115631486832,0.00426868049597893
2017-06-03,227.4176205,340.6706768,267.2484367,257.1039077,302.2999367,1004.523493,29.0088549296061,0.8815713006117778,0.7556076516552778,2857.0832577195997,43188.54287901846,9.933364862174246,0.0055153353714001985,73.42224010000001,29.68628719999998,48.29811244539786,205667.76545158253,178.22163384019282,904.2654558063323,8204.684648060025,291.1586421905915,793.260356717512,797224.2371767531,3206.408500448009,139278926.57581168,0.001440455947993547,1007734.3762044349,3212666.3741883975,770.9714859242996,0.004313926261803692
2017-06-04,227.8675121,341.7561433,267.8332681,257.9348321,303.68902725,1004.482595,28.7000007629394,0.8832709071542936,0.7570404724789936,2859.2489329586,43448.172970050575,9.993079783111632,0.005568094014660362,73.92287520000002,30.067319999999995,48.75095796277063,204982.22395430654,177.62757708345453,908.4206224036662,8242.385780368433,291.9606433277835,795.4454050588226,797796.0522025654,3206.2779552733414,139378825.4239414,0.001440332088753333,1008406.2955587213,3214808.4592126403,773.0354581333421,0.004336154740230716
2017-06-05,227.827374,341.6032779,267.6271208,258.187224,306.43205725,1006.004834,28.656215874354,0.8835123833782998,0.7573057505962999,2858.7334576164,43340.638014861,9.96834674341803,0.005593182671112018,73.97615710000002,30.359850000000023,48.97287010304688,203548.34671611054,176.3850491474095,916.6258086181182,8316.834013391066,293.54005398316735,799.7485019906771,798861.0215221201,3211.1368959584784,139564880.71020442,0.0014401016877124008,1009657.6176435279,3218797.6854215143,777.0991695457009,0.00438257770760524
2017-06-06,227.9310709,341.6997464,267.5411414,258.4689506,302.27383205,1005.515597,28.6770316667026,0.8833975666026458,0.7571294415589458,2858.7705403439,43103.63174478017,9.91383530129944,0.005503749310391481,74.15860499999997,30.53787970000002,49.164613666689895,201645.74806811268,174.73635014567822,904.1873693419799,8203.976145030103,291.14355639374094,793.219255534662,798482.8795999747,3209.5752663037565,139498817.48915106,0.001440183455400492,1009213.3195628081,3217381.259091571,770.9329870617969,0.004425778075001588
2017-06-07,227.4072907,340.9083449,267.0194935,258.1080045,299.69937995,1004.450646,29.4500007629394,0.879155012918658,0.753197489533558,2856.5824593305997,42803.889030781844,9.844894477079825,0.005400459844989132,73.88885139999996,30.70071379999999,49.17376212180395,200206.24927362512,173.48895084369593,896.4864477768907,8134.103263637479,289.6532183379806,789.1588364832219,797026.6935074694,3206.1759750350548,139244414.74221876,0.0014404987617338632,1007502.2422785142,3211926.329117272,767.0966014456264,0.004460439060339684
